time	V(n003)
6.608680795087538e-002	2.812819e+000
6.616493295087537e-002	2.929344e+000
6.624305795087537e-002	3.045815e+000
6.632104178376401e-002	3.162007e+000
6.639916678376401e-002	3.278322e+000
6.647729178376401e-002	3.394521e+000
6.655541678376400e-002	3.510610e+000
6.656068287876479e-002	3.518428e+000
6.656691536050066e-002	3.527677e+000
6.657021665399963e-002	3.532575e+000
6.657235589489700e-002	3.535749e+000
6.657363344025255e-002	3.537644e+000
6.657442380457297e-002	3.538817e+000
6.657495148715240e-002	3.539600e+000
6.657535269254072e-002	3.540195e+000
6.657576538163494e-002	3.540807e+000
6.657628912574817e-002	3.541584e+000
6.657688564449821e-002	3.542469e+000
6.657751199794483e-002	3.543398e+000
6.657804909218887e-002	3.544194e+000
6.657864391879592e-002	3.545077e+000
6.657923860840201e-002	3.545959e+000
6.657992899674761e-002	3.546983e+000
6.658064898631726e-002	3.548051e+000
6.658147332708700e-002	3.549273e+000
6.658236593906448e-002	3.550597e+000
6.658329794509392e-002	3.551979e+000
6.658419774847524e-002	3.553314e+000
6.658464226118087e-002	3.553973e+000
6.658496569292377e-002	3.554453e+000
6.658511089452676e-002	3.554668e+000
6.658526826386525e-002	3.554901e+000
6.658541118065653e-002	3.555113e+000
6.658552367994122e-002	3.555280e+000
6.658560582406350e-002	3.555402e+000
6.658568373281719e-002	3.555517e+000
6.658577829056202e-002	3.555658e+000
6.658587771109631e-002	3.555805e+000
6.658598725617144e-002	3.555968e+000
6.658620634632173e-002	3.556292e+000
6.658648133896941e-002	3.556700e+000
6.658685134833610e-002	3.557249e+000
6.658730595385395e-002	3.557923e+000
6.658794592782957e-002	3.558872e+000
6.658883228508172e-002	3.560186e+000
6.659023385922583e-002	3.562264e+000
6.659178355422418e-002	3.564562e+000
6.659283068782429e-002	3.566114e+000
6.659428453051086e-002	3.568269e+000
6.659556092439217e-002	3.570162e+000
6.659696771898763e-002	3.572247e+000
6.659900526969656e-002	3.575267e+000
6.660195223071166e-002	3.579634e+000
6.660614365886755e-002	3.585845e+000
6.661315658126289e-002	3.596233e+000
6.662633071870307e-002	3.615737e+000
6.664040797469142e-002	3.636555e+000
6.666110555107904e-002	3.667126e+000
6.666199526876626e-002	3.668439e+000
6.666377470414071e-002	3.671062e+000
6.666579744115123e-002	3.674042e+000
6.666613445274366e-002	3.674539e+000
6.666680847592853e-002	3.675532e+000
6.666762742932574e-002	3.676740e+000
6.666825115231384e-002	3.677662e+000
6.666870602032302e-002	3.678337e+000
6.666904208970735e-002	3.678842e+000
6.666931176750489e-002	3.679259e+000
6.666951441589228e-002	3.679591e+000
6.666965287838940e-002	3.679848e+000
6.666974860097488e-002	3.680071e+000
6.666982260224573e-002	3.680311e+000
6.666988781069397e-002	3.680637e+000
6.666995294808294e-002	3.681139e+000
6.667002855642319e-002	3.681981e+000
6.667010454890697e-002	3.683233e+000
6.667019762300654e-002	3.685611e+000
6.667028254737918e-002	3.689002e+000
6.667037247434496e-002	3.693959e+000
6.667042715168352e-002	3.697346e+000
6.667047338095046e-002	3.699682e+000
6.667053160658426e-002	3.701163e+000
6.667059055475291e-002	3.701462e+000
6.667064640455654e-002	3.701352e+000
6.667072188583549e-002	3.701303e+000
6.667079153549523e-002	3.701336e+000
6.667093083481469e-002	3.701355e+000
6.667108348553034e-002	3.701291e+000
6.667138878696163e-002	3.696808e+000
6.667146838353548e-002	3.689679e+000
6.667152861474610e-002	3.680878e+000
6.667154624197308e-002	3.679345e+000
6.667155714062431e-002	3.679160e+000
6.667157058411415e-002	3.679223e+000
6.667158619380006e-002	3.679452e+000
6.667161713314733e-002	3.680018e+000
6.667163384496680e-002	3.680254e+000
6.667165376021426e-002	3.680433e+000
6.667167673786488e-002	3.680518e+000
6.667170878847241e-002	3.680504e+000
6.667178695176178e-002	3.680293e+000
6.667183261514571e-002	3.680187e+000
6.667188900840344e-002	3.680086e+000
6.667200179491890e-002	3.679904e+000
6.667211368529194e-002	3.679724e+000
6.667229986392662e-002	3.679432e+000
6.667267222119595e-002	3.678862e+000
6.667341693573463e-002	3.677734e+000
6.667422288864205e-002	3.676521e+000
6.667536192710807e-002	3.674811e+000
6.667652266838653e-002	3.673070e+000
6.667818662914381e-002	3.670575e+000
6.668011693780247e-002	3.667682e+000
6.668316197125079e-002	3.663117e+000
6.669577463116024e-002	3.644211e+000
6.671259151103949e-002	3.619004e+000
6.674622527079800e-002	3.568591e+000
6.681349279031504e-002	3.467769e+000
6.688809110346532e-002	3.355965e+000
6.689785672846532e-002	3.341330e+000
6.691738797846532e-002	3.312059e+000
6.692719978155462e-002	3.297355e+000
6.693683464484375e-002	3.282916e+000
6.694254078733355e-002	3.274365e+000
6.694846086387667e-002	3.265494e+000
6.695608178211931e-002	3.254073e+000
6.696149313897175e-002	3.245964e+000
6.696188155291206e-002	3.245382e+000
6.696265838079270e-002	3.244218e+000
6.696421203655396e-002	3.241889e+000
6.696501966815999e-002	3.240679e+000
6.696568000687504e-002	3.239690e+000
6.696607432241886e-002	3.239099e+000
6.696637415819995e-002	3.238649e+000
6.696662911858088e-002	3.238267e+000
6.696697744718740e-002	3.237745e+000
6.696715660838518e-002	3.237477e+000
6.696737596970354e-002	3.237148e+000
